event_id,student_id,class_id,session_id,timestamp,day_of_week,hour_of_day,minutes_from_class_start,time_since_last_attendance_minutes,device_id_hash,ip_hash,network_type,device_changed_from_last_event,ip_changed_from_last_event,geo_lat,geo_lon,distance_from_last_event_km,travel_speed_kmh,face_match_distance,liveness_score,face_match_pass,retry_count_before_success,failed_attempts_last_7d,attendance_rate_30d,suspicious_events_last_30d,is_fraud
EVT000001,STU0001,CS501,S001,2026-03-02T11:25:00,Monday,11,1,2906,DEV_575,IP_204,ethernet,0,0,17.974827,78.817412,1.35,10.71,0.12406742933399045,0.8746761322576048,1,0,0,0.8929762865623543,0,0
EVT000002,STU0002,CS501,S002,2026-02-11T09:46:00,Wednesday,9,1,953,DEV_868,IP_353,ethernet,0,0,17.396781,78.065176,0.85,3.33,0.14948776950617113,0.9734884834243016,1,0,0,0.8811291812848014,0,0
EVT000003,STU0003,CS501,S003,2026-02-22T06:48:00,Sunday,6,5,1545,DEV_082,IP_239,wifi,0,0,17.570189,78.680115,1.24,10.34,0.22179738759245865,0.9694466744937772,1,0,2,0.8994883091071632,0,0
EVT000004,STU0004,CS501,S004,2026-03-11T08:04:00,Wednesday,8,4,3810,DEV_948,IP_656,ethernet,0,0,17.835425,79.026921,1.87,7.78,0.21561048124839974,0.8051226537566261,1,0,0,0.9344512436585989,0,0
EVT000005,STU0005,CS501,S005,2026-03-11T17:37:00,Wednesday,17,-6,2776,DEV_906,IP_659,mobile,0,0,17.214307,78.209445,0.8,0.79,0.3007070870454942,0.9523619400320671,1,0,0,0.9937454586865895,0,0
EVT000006,STU0006,CS501,S006,2026-03-07T06:43:00,Saturday,6,1,5688,DEV_812,IP_697,mobile,0,0,17.894614,78.577151,0.72,11.97,0.13451541690521684,0.8890115083177752,1,0,0,0.8920249357190425,0,0
EVT000007,STU0007,CS501,S007,2026-02-28T11:52:00,Saturday,11,9,2959,DEV_446,IP_162,mobile,0,0,17.004868,79.083138,0.02,8.65,0.23764312203942162,0.9272180043091366,1,1,1,0.8965388473848236,1,0
EVT000008,STU0008,CS501,S008,2026-03-06T03:04:00,Friday,3,9,2363,DEV_614,IP_332,mobile,0,1,17.029215,79.393648,1.25,10.1,0.19825250892865626,0.8877540583615988,1,1,0,0.9131821440103031,0,0
EVT000009,STU0009,CS501,S009,2026-03-13T08:47:00,Friday,8,2,2861,DEV_272,IP_541,ethernet,1,0,17.634707,78.317697,1.89,1.03,0.19102623239820068,0.8440980602467136,1,0,0,0.9525754775063906,0,0
EVT000010,STU0010,CS501,S010,2026-02-25T22:03:00,Wednesday,22,-1,3453,DEV_603,IP_226,wifi,0,0,17.10649,78.946654,0.75,10.8,0.19277696829431176,0.8322012416099148,1,0,1,0.8816247122370064,0,0
EVT000011,STU0011,CS501,S011,2026-02-11T19:03:00,Wednesday,19,-3,339,DEV_827,IP_417,wifi,1,1,17.141489,78.988474,119.183625,229.34587500000004,0.7594620405035961,0.36368608706814043,0,7,18,0.46036001131224624,15,1
EVT000012,STU0012,CS501,S012,2026-02-17T11:59:00,Tuesday,11,7,1343,DEV_144,IP_433,wifi,0,0,17.417818,78.37471,0.2,4.83,0.1732555072418949,0.9874392979483879,1,0,0,0.8898872583642515,1,0
EVT000013,STU0013,CS501,S013,2026-03-15T09:27:00,Sunday,9,30,101,DEV_886,IP_411,wifi,1,0,17.246956,78.003233,146.47050000000002,300.0,1.0,0.4587025954655388,0,4,13,0.5452461795263277,10,1
EVT000014,STU0014,CS501,S014,2026-02-19T03:26:00,Thursday,3,7,3236,DEV_766,IP_322,wifi,0,0,17.075214,78.715183,1.99,6.67,0.24309095903504654,0.8676685951346542,1,1,0,1.0,0,0
EVT000015,STU0015,CS501,S015,2026-03-15T05:12:00,Sunday,5,-2,1365,DEV_635,IP_084,mobile,0,1,17.98606,78.84784,0.37,7.14,0.25271155943037454,0.8426644996834665,1,0,2,0.8814163108677906,0,0
EVT000016,STU0016,CS501,S016,2026-02-15T18:33:00,Sunday,18,-1,3473,DEV_076,IP_551,wifi,0,0,17.758827,78.198685,1.34,3.6,0.1678169064862217,0.9608024051577643,1,0,0,0.9416952650468663,0,0
EVT000017,STU0017,CS501,S017,2026-02-17T06:12:00,Tuesday,6,0,3927,DEV_680,IP_107,wifi,0,0,17.396699,79.334569,1.09,3.63,0.293020707255623,0.9712423522725107,1,0,1,0.9665967318085401,1,0
EVT000018,STU0018,CS501,S018,2026-03-07T03:55:00,Saturday,3,1,3208,DEV_046,IP_004,mobile,0,0,18.156679,78.95567,0.41,7.61,0.1670929547847754,0.924400778514449,1,0,0,0.9827040531892202,0,0
EVT000019,STU0019,CS501,S019,2026-02-13T07:07:00,Friday,7,7,5419,DEV_441,IP_131,wifi,0,0,17.462388,79.348472,0.22,11.34,0.23756934171070798,0.8102601714333852,1,0,1,0.9318914652089889,0,0
EVT000020,STU0020,CS501,S020,2026-03-09T14:34:00,Monday,14,-6,3831,DEV_903,IP_423,wifi,0,0,17.269041,79.386731,0.21,9.36,0.2805533906873087,0.9075222043511507,1,0,0,0.9665117202212432,0,0
EVT000021,STU0021,CS501,S021,2026-03-08T23:34:00,Sunday,23,0,3085,DEV_229,IP_025,ethernet,0,0,17.289695,78.492393,0.77,0.46,0.1851495526165664,0.839544016421876,1,0,0,0.9502466321125005,0,0
EVT000022,STU0022,CS501,S022,2026-03-12T17:06:00,Thursday,17,12,360,DEV_040,IP_112,ethernet,1,1,17.651846,79.092818,170.168625,300.0,1.0,0.038141177410071087,0,5,7,0.6279992649549367,11,1
EVT000023,STU0023,CS501,S023,2026-02-15T15:37:00,Sunday,15,9,1847,DEV_639,IP_322,ethernet,0,0,18.272023,79.079631,0.51,8.51,0.0970885547890068,1.0,1,0,1,0.9306977297159164,1,0
EVT000024,STU0024,CS501,S024,2026-02-15T01:01:00,Sunday,1,6,3572,DEV_562,IP_001,mobile,0,0,17.430371,78.644832,0.25,5.05,0.28730058564455585,0.9475025742581826,1,0,2,0.9541441625000752,1,0
EVT000025,STU0025,CS501,S025,2026-02-27T18:29:00,Friday,18,3,4709,DEV_096,IP_241,ethernet,0,0,17.465629,79.209844,1.02,9.52,0.28688382414428154,0.9769953368161398,1,0,0,0.9056008830514335,1,0
EVT000026,STU0026,CS501,S026,2026-02-08T01:56:00,Sunday,1,10,487,DEV_672,IP_006,wifi,1,1,18.167631,78.328262,84.286125,300.0,0.9615297794336747,0.29554336370750856,0,6,15,0.4480575157204741,7,1
EVT000027,STU0027,CS501,S027,2026-03-09T23:18:00,Monday,23,9,4705,DEV_851,IP_562,mobile,1,0,18.345812,79.115483,1.7,5.48,0.25146975218436945,0.949579196916826,1,1,0,0.9724512062020444,0,0
EVT000028,STU0028,CS501,S028,2026-02-22T23:28:00,Sunday,23,0,3171,DEV_142,IP_155,wifi,0,0,17.574553,78.229208,1.25,3.3,0.1258385173402498,0.8988086888457922,1,1,0,0.925720394431399,0,0
EVT000029,STU0029,CS501,S029,2026-02-11T02:41:00,Wednesday,2,21,339,DEV_361,IP_306,mobile,1,1,18.280172,79.430146,43.683749999999996,300.0,1.0,0.3249222098312554,0,2,16,0.44696847445776255,5,1
EVT000030,STU0030,CS501,S030,2026-02-20T10:40:00,Friday,10,10,5841,DEV_942,IP_131,ethernet,0,0,17.801185,79.360393,0.55,5.83,0.1844310009417498,0.9697885812442884,1,1,2,0.8760141007543853,1,0
EVT000031,STU0031,CS501,S031,2026-02-28T07:30:00,Saturday,7,-7,1587,DEV_285,IP_432,mobile,0,0,18.252366,78.70546,0.92,0.6,0.17368103122828485,0.838093546051108,1,0,0,1.0,1,0
EVT000032,STU0032,CS501,S032,2026-03-07T11:08:00,Saturday,11,4,2736,DEV_485,IP_686,wifi,0,0,17.845954,78.326947,1.3,9.05,0.2824520417559574,0.8793059553232422,1,0,2,0.9004101777643918,0,0
EVT000033,STU0033,CS501,S033,2026-03-05T05:00:00,Thursday,5,4,2274,DEV_407,IP_204,wifi,0,0,17.888147,79.245857,1.44,9.33,0.14238616549442895,0.8813881251025821,1,0,1,0.9645144518983645,1,0
EVT000034,STU0034,CS501,S034,2026-02-12T10:15:00,Thursday,10,2,5818,DEV_870,IP_431,mobile,0,0,17.158308,79.441181,1.13,0.49,0.1994292154868037,0.9523976669265679,1,0,1,0.9236755516417996,0,0
EVT000035,STU0035,CS501,S035,2026-03-02T07:13:00,Monday,7,7,2153,DEV_331,IP_252,wifi,0,0,17.418392,78.676203,1.93,3.24,0.2550796713255832,0.9399641810415449,1,0,1,0.9049678029053656,0,0
EVT000036,STU0036,CS501,S036,2026-03-07T12:43:00,Saturday,12,12,4004,DEV_570,IP_011,ethernet,0,0,18.422094,78.128419,0.65,5.85,0.18143935140558665,0.8431770276989066,1,0,2,1.0,0,0
EVT000037,STU0037,CS501,S037,2026-03-06T03:30:00,Friday,3,10,2868,DEV_485,IP_567,ethernet,0,0,17.515636,79.494947,0.98,9.52,0.12672163970007652,0.8294112345598964,1,0,0,0.9716476885675186,0,0
EVT000038,STU0038,CS501,S038,2026-02-26T10:10:00,Thursday,10,7,3119,DEV_284,IP_604,ethernet,0,0,17.895186,79.470766,1.44,3.79,0.24386797156044124,1.0,1,0,0,0.8907376095316115,1,0
EVT000039,STU0039,CS501,S039,2026-03-11T06:27:00,Wednesday,6,0,3856,DEV_106,IP_013,ethernet,0,1,17.426509,78.718071,1.07,3.29,0.2832893068101795,0.913873963259076,1,0,2,0.9893668777564473,1,0
EVT000040,STU0040,CS501,S040,2026-02-16T21:08:00,Monday,21,-6,2968,DEV_088,IP_255,wifi,0,0,17.83711,78.624261,1.64,4.81,0.113707886482276,0.9834743714314664,1,0,0,0.8642505138480668,0,0
EVT000041,STU0041,CS501,S001,2026-02-28T12:07:00,Saturday,12,0,5180,DEV_782,IP_213,ethernet,0,0,17.316538,78.990642,0.59,7.06,0.18882244518529534,0.9137135437157038,1,0,1,1.0,0,0
EVT000042,STU0042,CS501,S002,2026-02-08T12:32:00,Sunday,12,10,1514,DEV_704,IP_240,mobile,0,0,18.181742,78.937587,1.38,5.64,0.13629812523236498,0.8718049469579287,1,0,1,1.0,0,0
