event_id,student_id,class_id,session_id,timestamp,day_of_week,hour_of_day,minutes_from_class_start,time_since_last_attendance_minutes,device_id_hash,ip_hash,network_type,device_changed_from_last_event,ip_changed_from_last_event,geo_lat,geo_lon,distance_from_last_event_km,travel_speed_kmh,face_match_distance,liveness_score,face_match_pass,retry_count_before_success,failed_attempts_last_7d,attendance_rate_30d,suspicious_events_last_30d,is_fraud
EVT000001,STU0001,CS501,S001,2026-03-02T11:25:00,Monday,11,1,2906,DEV_575,IP_204,ethernet,0,0,17.974827,78.817412,1.35,10.71,0.181,0.869,1,0,0,0.859,0,0
EVT000002,STU0002,CS501,S002,2026-02-11T09:46:00,Wednesday,9,1,953,DEV_868,IP_353,ethernet,0,0,17.396781,78.065176,0.85,3.33,0.212,0.94,1,0,0,0.888,1,0
EVT000003,STU0003,CS501,S003,2026-02-22T06:48:00,Sunday,6,5,1545,DEV_082,IP_239,wifi,0,0,17.570189,78.680115,1.24,10.34,0.299,0.928,1,0,2,0.861,1,0
EVT000004,STU0004,CS501,S004,2026-03-11T08:04:00,Wednesday,8,4,3810,DEV_948,IP_656,ethernet,0,0,17.835425,79.026921,1.87,7.78,0.306,0.816,1,0,0,0.903,1,0
EVT000005,STU0005,CS501,S005,2026-03-11T17:37:00,Wednesday,17,-6,2776,DEV_906,IP_659,mobile,0,0,17.214307,78.209445,0.8,0.79,0.379,0.899,1,1,0,0.938,1,0
EVT000006,STU0006,CS501,S006,2026-03-07T06:43:00,Saturday,6,1,5688,DEV_812,IP_697,mobile,0,0,17.894614,78.577151,0.72,11.97,0.193,0.884,1,0,0,0.848,0,0
EVT000007,STU0007,CS501,S007,2026-02-28T11:52:00,Saturday,11,9,2959,DEV_446,IP_162,mobile,0,0,17.004868,79.083138,0.02,8.65,0.324,0.893,1,1,2,0.881,1,0
EVT000008,STU0008,CS501,S008,2026-03-06T03:04:00,Friday,3,9,2363,DEV_614,IP_332,mobile,0,1,17.029215,79.393648,1.25,10.1,0.282,0.822,1,1,0,0.917,0,0
EVT000009,STU0009,CS501,S009,2026-03-13T08:47:00,Friday,8,2,2861,DEV_272,IP_541,ethernet,1,0,17.634707,78.317697,1.89,1.03,0.277,0.795,1,0,0,0.939,0,0
EVT000010,STU0010,CS501,S010,2026-02-25T22:03:00,Wednesday,22,-1,3453,DEV_603,IP_226,wifi,0,0,17.10649,78.946654,0.75,10.8,0.268,0.832,1,0,1,0.824,0,0
EVT000011,STU0011,CS501,S011,2026-02-11T19:03:00,Wednesday,19,-3,339,DEV_827,IP_417,wifi,1,1,17.141489,78.988474,96.31,185.33,0.503,0.621,0,5,11,0.639,9,1
EVT000012,STU0012,CS501,S012,2026-02-17T11:59:00,Tuesday,11,7,1343,DEV_144,IP_433,wifi,0,0,17.417818,78.37471,0.2,4.83,0.241,0.961,1,0,0,0.854,1,0
EVT000013,STU0013,CS501,S013,2026-03-15T09:27:00,Sunday,9,30,101,DEV_886,IP_411,wifi,1,0,17.246956,78.003233,118.36,679.69,0.821,0.582,0,2,8,0.644,5,1
EVT000014,STU0014,CS501,S014,2026-02-19T03:26:00,Thursday,3,7,3236,DEV_766,IP_322,wifi,0,0,17.075214,78.715183,1.99,6.67,0.332,0.813,1,1,0,0.994,0,0
EVT000015,STU0015,CS501,S015,2026-03-15T05:12:00,Sunday,5,-2,1365,DEV_635,IP_084,mobile,0,1,17.98606,78.84784,0.37,7.14,0.322,0.829,1,0,2,0.864,0,0
EVT000016,STU0016,CS501,S016,2026-02-15T18:33:00,Sunday,18,-1,3473,DEV_076,IP_551,wifi,0,0,17.758827,78.198685,1.34,3.6,0.236,0.938,1,0,0,0.902,0,0
EVT000017,STU0017,CS501,S017,2026-02-17T06:12:00,Tuesday,6,0,3927,DEV_680,IP_107,wifi,0,0,17.396699,79.334569,1.09,3.63,0.396,0.949,1,0,2,0.967,1,0
EVT000018,STU0018,CS501,S018,2026-03-07T03:55:00,Saturday,3,1,3208,DEV_046,IP_004,mobile,0,0,18.156679,78.95567,0.41,7.61,0.223,0.883,1,0,0,0.934,1,0
EVT000019,STU0019,CS501,S019,2026-02-13T07:07:00,Friday,7,7,5419,DEV_441,IP_131,wifi,0,0,17.462388,79.348472,0.22,11.34,0.326,0.811,1,0,1,0.925,0,0
EVT000020,STU0020,CS501,S020,2026-03-09T14:34:00,Monday,14,-6,3831,DEV_903,IP_423,wifi,0,0,17.269041,79.386731,0.21,9.36,0.372,0.865,1,0,0,0.976,0,0
EVT000021,STU0021,CS501,S021,2026-03-08T23:34:00,Sunday,23,0,3085,DEV_229,IP_025,ethernet,0,0,17.289695,78.492393,0.77,0.46,0.273,0.822,1,1,1,0.875,0,0
EVT000022,STU0022,CS501,S022,2026-03-12T17:06:00,Thursday,17,12,360,DEV_040,IP_112,ethernet,1,1,17.651846,79.092818,137.51,396.22,0.826,0.252,0,3,4,0.682,6,1
